question_no,question_id,dimension,question_text,choice_code,option_id,option_label,tags,weights
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,A,visual-01-a,清冷有距离感,清冷|高级感,清冷:4|高级感:3
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,B,visual-01-b,甜酷有攻击力,甜酷|反差型,甜酷:4|反差型:2
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,C,visual-01-c,阳光爱笑,明媚|温柔,明媚:4|温柔:2
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,D,visual-01-d,成熟有质感,高级感|演员型,高级感:4|演员型:2
2,visual-02,颜值审美,你更喜欢哪种造型？,A,visual-02-a,黑白冷感,清冷|舞台型,清冷:3|舞台型:2
2,visual-02,颜值审美,你更喜欢哪种造型？,B,visual-02-b,亮色大胆,甜酷|热血,甜酷:3|热血:2
2,visual-02,颜值审美,你更喜欢哪种造型？,C,visual-02-c,校园日常,陪伴型|温柔,陪伴型:3|温柔:3
2,visual-02,颜值审美,你更喜欢哪种造型？,D,visual-02-d,西装红毯,高级感|演员型,高级感:3|演员型:3
3,visual-03,颜值审美,你最想收藏哪种图？,A,visual-03-a,侧脸背影,清冷|佛系,清冷:3|佛系:2
3,visual-03,颜值审美,你最想收藏哪种图？,B,visual-03-b,舞台定格,舞台型|热血,舞台型:3|热血:3
3,visual-03,颜值审美,你最想收藏哪种图？,C,visual-03-c,搞笑花絮,搞笑|陪伴型,搞笑:3|陪伴型:2
3,visual-03,颜值审美,你最想收藏哪种图？,D,visual-03-d,杂志大片,高级感|收藏型,高级感:3|收藏型:2
4,visual-04,颜值审美,哪种照片更像神图？,A,visual-04-a,冷感截图,清冷|演员型,清冷:4|演员型:2
4,visual-04,颜值审美,哪种照片更像神图？,B,visual-04-b,舞台中心,舞台型|实力派,舞台型:4|实力派:2
4,visual-04,颜值审美,哪种照片更像神图？,C,visual-04-c,生活抓拍,陪伴型|温柔,陪伴型:4|温柔:2
4,visual-04,颜值审美,哪种照片更像神图？,D,visual-04-d,风格实验,反差型|甜酷,反差型:3|甜酷:3
5,visual-05,颜值审美,短视频里你看什么？,A,visual-05-a,眼神距离感,清冷|高级感,清冷:3|高级感:3
5,visual-05,颜值审美,短视频里你看什么？,B,visual-05-b,镜头表现力,舞台型|甜酷,舞台型:3|甜酷:3
5,visual-05,颜值审美,短视频里你看什么？,C,visual-05-c,自然亲和,陪伴型|明媚,陪伴型:3|明媚:3
5,visual-05,颜值审美,短视频里你看什么？,D,visual-05-d,角色氛围,演员型|高级感,演员型:4|高级感:2
6,stage-01,舞台偏好,你最爱刷哪种舞台？,A,stage-a,燃炸唱跳,舞台型|热血|实力派,舞台型:5|热血:4|实力派:3
6,stage-01,舞台偏好,你最爱刷哪种舞台？,B,stage-01-b,慢歌现场,实力派|温柔,实力派:4|温柔:3
6,stage-01,舞台偏好,你最爱刷哪种舞台？,C,stage-01-c,完整群舞,养成系|舞台型,养成系:3|舞台型:4
6,stage-01,舞台偏好,你最爱刷哪种舞台？,D,stage-01-d,个人直拍,清冷|舞台型,清冷:3|舞台型:3
7,stage-02,舞台偏好,你最看重舞台的什么？,A,stage-b,实力稳定,舞台型|实力派,舞台型:4|实力派:5
7,stage-02,舞台偏好,你最看重舞台的什么？,B,stage-02-b,气场很强,高级感|舞台型,高级感:3|舞台型:4
7,stage-02,舞台偏好,你最看重舞台的什么？,C,stage-02-c,成长明显,养成系|热血,养成系:4|热血:2
7,stage-02,舞台偏好,你最看重舞台的什么？,D,stage-02-d,台上反差,反差型|舞台型,反差型:4|舞台型:3
8,stage-03,舞台偏好,直拍让你入坑的点是？,A,stage-03-a,动作干净,实力派|舞台型,实力派:4|舞台型:3
8,stage-03,舞台偏好,直拍让你入坑的点是？,B,stage-03-b,表情会演,演员型|舞台型,演员型:3|舞台型:3
8,stage-03,舞台偏好,直拍让你入坑的点是？,C,stage-03-c,小互动可爱,搞笑|陪伴型,搞笑:3|陪伴型:2
8,stage-03,舞台偏好,直拍让你入坑的点是？,D,stage-03-d,少年感强,热血|明媚,热血:4|明媚:2
9,stage-04,舞台偏好,你爱看哪种演唱会片段？,A,stage-04-a,全场合唱,热血|线下应援型,热血:3|线下应援型:4
9,stage-04,舞台偏好,你爱看哪种演唱会片段？,B,stage-04-b,安静讲话,陪伴型|温柔,陪伴型:4|温柔:3
9,stage-04,舞台偏好,你爱看哪种演唱会片段？,C,stage-04-c,solo舞台,实力派|舞台型,实力派:4|舞台型:3
9,stage-04,舞台偏好,你爱看哪种演唱会片段？,D,stage-04-d,即兴玩梗,搞笑|饭圈互动型,搞笑:4|饭圈互动型:2
10,stage-05,舞台偏好,你期待哪种回归风格？,A,stage-05-a,暗色电影感,清冷|高级感,清冷:3|高级感:4
10,stage-05,舞台偏好,你期待哪种回归风格？,B,stage-05-b,强节奏舞曲,舞台型|热血,舞台型:4|热血:3
10,stage-05,舞台偏好,你期待哪种回归风格？,C,stage-05-c,明亮青春,明媚|陪伴型,明媚:3|陪伴型:3
10,stage-05,舞台偏好,你期待哪种回归风格？,D,stage-05-d,风格大转弯,反差型|甜酷,反差型:4|甜酷:2
11,works-01,作品偏好,舞台外你想先看什么？,A,works-01-a,影视角色,演员型|作品型,演员型:5|作品型:3
11,works-01,作品偏好,舞台外你想先看什么？,B,works-01-b,原创音乐,创作型|实力派,创作型:5|实力派:3
11,works-01,作品偏好,舞台外你想先看什么？,C,works-01-c,综艺片段,综艺型|搞笑,综艺型:4|搞笑:3
11,works-01,作品偏好,舞台外你想先看什么？,D,works-01-d,成长纪录,养成系|热血,养成系:4|热血:2
12,works-02,作品偏好,哪种作品更加分？,A,works-02-a,角色跨度大,演员型|反差型,演员型:4|反差型:2
12,works-02,作品偏好,哪种作品更加分？,B,works-02-b,稳定发歌,创作型|实力派,创作型:4|实力派:3
12,works-02,作品偏好,哪种作品更加分？,C,works-02-c,舞台常出圈,舞台型|实力派,舞台型:4|实力派:3
12,works-02,作品偏好,哪种作品更加分？,D,works-02-d,综艺表现好,综艺型|饭圈互动型,综艺型:4|饭圈互动型:2
13,works-03,作品偏好,你会拿什么安利朋友？,A,works-03-a,舞台合集,舞台型|安利型,舞台型:3|安利型:3
13,works-03,作品偏好,你会拿什么安利朋友？,B,works-03-b,角色混剪,演员型|作品型,演员型:4|作品型:3
13,works-03,作品偏好,你会拿什么安利朋友？,C,works-03-c,采访幕后,创作型|清冷,创作型:3|清冷:2
13,works-03,作品偏好,你会拿什么安利朋友？,D,works-03-d,综艺名场面,综艺型|搞笑,综艺型:4|搞笑:3
14,works-04,作品偏好,你希望他主攻什么？,A,works-04-a,舞台唱跳,舞台型|实力派,舞台型:4|实力派:3
14,works-04,作品偏好,你希望他主攻什么？,B,works-04-b,影视角色,演员型|高级感,演员型:4|高级感:2
14,works-04,作品偏好,你希望他主攻什么？,C,works-04-c,音乐创作,创作型|温柔,创作型:4|温柔:2
14,works-04,作品偏好,你希望他主攻什么？,D,works-04-d,综艺直播,综艺型|陪伴型,综艺型:3|陪伴型:4
15,works-05,作品偏好,作品空窗期你能接受吗？,A,works-05-a,质量高就行,佛系|实力派,佛系:3|实力派:3
15,works-05,作品偏好,作品空窗期你能接受吗？,B,works-05-b,想常看舞台,舞台型|陪伴型,舞台型:3|陪伴型:3
15,works-05,作品偏好,作品空窗期你能接受吗？,C,works-05-c,有日常就行,饭圈互动型|陪伴型,饭圈互动型:3|陪伴型:3
15,works-05,作品偏好,作品空窗期你能接受吗？,D,works-05-d,补成长线,养成系|收藏型,养成系:3|收藏型:2
16,personality-01,性格吸引点,你更吃哪种性格？,A,personality-01-a,温柔细腻,温柔|陪伴型,温柔:5|陪伴型:3
16,personality-01,性格吸引点,你更吃哪种性格？,B,personality-01-b,热血真诚,热血|养成系,热血:5|养成系:2
16,personality-01,性格吸引点,你更吃哪种性格？,C,personality-01-c,冷静克制,清冷|佛系,清冷:4|佛系:3
16,personality-01,性格吸引点,你更吃哪种性格？,D,personality-01-d,搞笑松弛,搞笑|综艺型,搞笑:5|综艺型:2
17,personality-02,性格吸引点,采访里你喜欢哪种人？,A,personality-02-a,直接真诚,热血|实力派,热血:3|实力派:2
17,personality-02,性格吸引点,采访里你喜欢哪种人？,B,personality-02-b,有边界感,清冷|高级感,清冷:4|高级感:2
17,personality-02,性格吸引点,采访里你喜欢哪种人？,C,personality-02-c,很会接梗,搞笑|综艺型,搞笑:4|综艺型:3
17,personality-02,性格吸引点,采访里你喜欢哪种人？,D,personality-02-d,说话柔软,温柔|陪伴型,温柔:4|陪伴型:3
18,personality-03,性格吸引点,你觉得哪种魅力更久？,A,personality-03-a,稳定专业,实力派|佛系,实力派:4|佛系:2
18,personality-03,性格吸引点,你觉得哪种魅力更久？,B,personality-03-b,一直成长,养成系|热血,养成系:4|热血:3
18,personality-03,性格吸引点,你觉得哪种魅力更久？,C,personality-03-c,情绪价值高,陪伴型|温柔,陪伴型:4|温柔:3
18,personality-03,性格吸引点,你觉得哪种魅力更久？,D,personality-03-d,个性鲜明,反差型|清冷,反差型:3|清冷:3
19,personality-04,性格吸引点,你喜欢哪种营业方式？,A,personality-04-a,自然互动,饭圈互动型|陪伴型,饭圈互动型:4|陪伴型:3
19,personality-04,性格吸引点,你喜欢哪种营业方式？,B,personality-04-b,低调真实,佛系|清冷,佛系:4|清冷:3
19,personality-04,性格吸引点,你喜欢哪种营业方式？,C,personality-04-c,看作品就好,实力派|作品型,实力派:3|作品型:3
19,personality-04,性格吸引点,你喜欢哪种营业方式？,D,personality-04-d,互动玩梗,搞笑|饭圈互动型,搞笑:4|饭圈互动型:3
20,personality-05,性格吸引点,遇到压力时你想看他？,A,personality-05-a,用舞台回应,舞台型|热血,舞台型:3|热血:4
20,personality-05,性格吸引点,遇到压力时你想看他？,B,personality-05-b,坦诚沟通,陪伴型|温柔,陪伴型:4|温柔:3
20,personality-05,性格吸引点,遇到压力时你想看他？,C,personality-05-c,拿作品说话,清冷|作品型,清冷:3|作品型:3
20,personality-05,性格吸引点,遇到压力时你想看他？,D,personality-05-d,幽默化解,搞笑|综艺型,搞笑:4|综艺型:2
21,companionship-01,陪伴需求,追星时你最需要什么？,A,companionship-01-a,温柔安慰,陪伴型|温柔,陪伴型:5|温柔:3
21,companionship-01,陪伴需求,追星时你最需要什么？,B,companionship-01-b,热血鼓励,热血|养成系,热血:4|养成系:3
21,companionship-01,陪伴需求,追星时你最需要什么？,C,companionship-01-c,安静欣赏,清冷|佛系,清冷:3|佛系:4
21,companionship-01,陪伴需求,追星时你最需要什么？,D,companionship-01-d,获得快乐,搞笑|综艺型,搞笑:4|综艺型:3
22,companionship-02,陪伴需求,你喜欢哪种日常物料？,A,companionship-02-a,vlog直播,陪伴型|饭圈互动型,陪伴型:4|饭圈互动型:3
22,companionship-02,陪伴需求,你喜欢哪种日常物料？,B,companionship-02-b,训练幕后,养成系|实力派,养成系:3|实力派:3
22,companionship-02,陪伴需求,你喜欢哪种日常物料？,C,companionship-02-c,杂志花絮,高级感|收藏型,高级感:3|收藏型:2
22,companionship-02,陪伴需求,你喜欢哪种日常物料？,D,companionship-02-d,综艺反应,搞笑|综艺型,搞笑:4|综艺型:3
23,companionship-03,陪伴需求,什么时候会打开物料？,A,companionship-03-a,很疲惫时,陪伴型|温柔,陪伴型:4|温柔:4
23,companionship-03,陪伴需求,什么时候会打开物料？,B,companionship-03-b,没动力时,热血|舞台型,热血:4|舞台型:2
23,companionship-03,陪伴需求,什么时候会打开物料？,C,companionship-03-c,想看美图时,高级感|收藏型,高级感:4|收藏型:2
23,companionship-03,陪伴需求,什么时候会打开物料？,D,companionship-03-d,想笑一下时,搞笑|综艺型,搞笑:4|综艺型:3
24,companionship-04,陪伴需求,粉丝关系你看重什么？,A,companionship-04-a,真诚陪伴,陪伴型|温柔,陪伴型:4|温柔:3
24,companionship-04,陪伴需求,粉丝关系你看重什么？,B,companionship-04-b,边界清楚,佛系|清冷,佛系:4|清冷:3
24,companionship-04,陪伴需求,粉丝关系你看重什么？,C,companionship-04-c,见证成长,养成系|热血,养成系:4|热血:2
24,companionship-04,陪伴需求,粉丝关系你看重什么？,D,companionship-04-d,互动有趣,饭圈互动型|搞笑,饭圈互动型:4|搞笑:3
25,companionship-05,陪伴需求,只能保留一种更新？,A,companionship-05-a,舞台现场,舞台型|实力派,舞台型:4|实力派:3
