question_no,question_id,dimension,question_text,choice_code,option_id,option_label,tags,weights
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,A,visual-01-a,清冷有距离感,清冷|高级感,清冷:4|高级感:3
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,B,visual-01-b,甜酷有攻击力,甜酷|反差型,甜酷:4|反差型:2
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,C,visual-01-c,阳光爱笑,明媚|温柔,明媚:4|温柔:2
1,visual-01,颜值审美,你第一眼更喜欢哪种长相？,D,visual-01-d,成熟有质感,高级感|演员型,高级感:4|演员型:2
2,visual-03,颜值审美,你最想收藏哪种图？,A,visual-03-a,侧脸背影,清冷|佛系,清冷:3|佛系:2
2,visual-03,颜值审美,你最想收藏哪种图？,B,visual-03-b,舞台定格,舞台型|热血,舞台型:3|热血:3
2,visual-03,颜值审美,你最想收藏哪种图？,C,visual-03-c,搞笑花絮,搞笑|陪伴型,搞笑:3|陪伴型:2
2,visual-03,颜值审美,你最想收藏哪种图？,D,visual-03-d,杂志大片,高级感|收藏型,高级感:3|收藏型:2
3,stage-01,舞台偏好,你最爱刷哪种舞台？,A,stage-a,燃炸唱跳,舞台型|热血|实力派,舞台型:5|热血:4|实力派:3
3,stage-01,舞台偏好,你最爱刷哪种舞台？,B,stage-01-b,慢歌现场,实力派|温柔,实力派:4|温柔:3
3,stage-01,舞台偏好,你最爱刷哪种舞台？,C,stage-01-c,完整群舞,养成系|舞台型,养成系:3|舞台型:4
3,stage-01,舞台偏好,你最爱刷哪种舞台？,D,stage-01-d,个人直拍,清冷|舞台型,清冷:3|舞台型:3
4,stage-03,舞台偏好,直拍让你入坑的点是？,A,stage-03-a,动作干净,实力派|舞台型,实力派:4|舞台型:3
4,stage-03,舞台偏好,直拍让你入坑的点是？,B,stage-03-b,表情会演,演员型|舞台型,演员型:3|舞台型:3
4,stage-03,舞台偏好,直拍让你入坑的点是？,C,stage-03-c,小互动可爱,搞笑|陪伴型,搞笑:3|陪伴型:2
4,stage-03,舞台偏好,直拍让你入坑的点是？,D,stage-03-d,少年感强,热血|明媚,热血:4|明媚:2
5,works-01,作品偏好,舞台外你想先看什么？,A,works-01-a,影视角色,演员型|作品型,演员型:5|作品型:3
5,works-01,作品偏好,舞台外你想先看什么？,B,works-01-b,原创音乐,创作型|实力派,创作型:5|实力派:3
5,works-01,作品偏好,舞台外你想先看什么？,C,works-01-c,综艺片段,综艺型|搞笑,综艺型:4|搞笑:3
5,works-01,作品偏好,舞台外你想先看什么？,D,works-01-d,成长纪录,养成系|热血,养成系:4|热血:2
6,works-03,作品偏好,你会拿什么安利朋友？,A,works-03-a,舞台合集,舞台型|安利型,舞台型:3|安利型:3
6,works-03,作品偏好,你会拿什么安利朋友？,B,works-03-b,角色混剪,演员型|作品型,演员型:4|作品型:3
6,works-03,作品偏好,你会拿什么安利朋友？,C,works-03-c,采访幕后,创作型|清冷,创作型:3|清冷:2
6,works-03,作品偏好,你会拿什么安利朋友？,D,works-03-d,综艺名场面,综艺型|搞笑,综艺型:4|搞笑:3
7,personality-01,性格吸引点,你更吃哪种性格？,A,personality-01-a,温柔细腻,温柔|陪伴型,温柔:5|陪伴型:3
7,personality-01,性格吸引点,你更吃哪种性格？,B,personality-01-b,热血真诚,热血|养成系,热血:5|养成系:2
7,personality-01,性格吸引点,你更吃哪种性格？,C,personality-01-c,冷静克制,清冷|佛系,清冷:4|佛系:3
7,personality-01,性格吸引点,你更吃哪种性格？,D,personality-01-d,搞笑松弛,搞笑|综艺型,搞笑:5|综艺型:2
8,personality-03,性格吸引点,你觉得哪种魅力更久？,A,personality-03-a,稳定专业,实力派|佛系,实力派:4|佛系:2
8,personality-03,性格吸引点,你觉得哪种魅力更久？,B,personality-03-b,一直成长,养成系|热血,养成系:4|热血:3
8,personality-03,性格吸引点,你觉得哪种魅力更久？,C,personality-03-c,情绪价值高,陪伴型|温柔,陪伴型:4|温柔:3
8,personality-03,性格吸引点,你觉得哪种魅力更久？,D,personality-03-d,个性鲜明,反差型|清冷,反差型:3|清冷:3
9,companionship-01,陪伴需求,追星时你最需要什么？,A,companionship-01-a,温柔安慰,陪伴型|温柔,陪伴型:5|温柔:3
9,companionship-01,陪伴需求,追星时你最需要什么？,B,companionship-01-b,热血鼓励,热血|养成系,热血:4|养成系:3
9,companionship-01,陪伴需求,追星时你最需要什么？,C,companionship-01-c,安静欣赏,清冷|佛系,清冷:3|佛系:4
9,companionship-01,陪伴需求,追星时你最需要什么？,D,companionship-01-d,获得快乐,搞笑|综艺型,搞笑:4|综艺型:3
10,companionship-03,陪伴需求,什么时候会打开物料？,A,companionship-03-a,很疲惫时,陪伴型|温柔,陪伴型:4|温柔:4
10,companionship-03,陪伴需求,什么时候会打开物料？,B,companionship-03-b,没动力时,热血|舞台型,热血:4|舞台型:2
10,companionship-03,陪伴需求,什么时候会打开物料？,C,companionship-03-c,想看美图时,高级感|收藏型,高级感:4|收藏型:2
10,companionship-03,陪伴需求,什么时候会打开物料？,D,companionship-03-d,想笑一下时,搞笑|综艺型,搞笑:4|综艺型:3
11,contrast-01,反差感偏好,你最喜欢哪种反差？,A,contrast-01-a,台上强台下软,反差型|甜酷,反差型:5|甜酷:3
11,contrast-01,反差感偏好,你最喜欢哪种反差？,B,contrast-01-b,冷脸很温柔,反差型|清冷|温柔,反差型:4|清冷:3|温柔:2
11,contrast-01,反差感偏好,你最喜欢哪种反差？,C,contrast-01-c,搞笑又认真,反差型|搞笑|演员型,反差型:4|搞笑:3|演员型:2
11,contrast-01,反差感偏好,你最喜欢哪种反差？,D,contrast-01-d,低调会爆发,反差型|舞台型|实力派,反差型:4|舞台型:3|实力派:2
12,contrast-04,反差感偏好,哪种标题你会点开？,A,contrast-04-a,冷脸其实很软,清冷|反差型,清冷:3|反差型:4
12,contrast-04,反差感偏好,哪种标题你会点开？,B,contrast-04-b,舞台燃醒我,热血|舞台型,热血:4|舞台型:3
12,contrast-04,反差感偏好,哪种标题你会点开？,C,contrast-04-c,综艺感太强,搞笑|综艺型,搞笑:4|综艺型:3
12,contrast-04,反差感偏好,哪种标题你会点开？,D,contrast-04-d,成长线好完整,养成系|热血,养成系:4|热血:2
13,spend-01,追星消费倾向,你愿意把钱花在哪？,A,spend-01-a,演唱会见面会,线下应援型|舞台型,线下应援型:5|舞台型:3
13,spend-01,追星消费倾向,你愿意把钱花在哪？,B,spend-01-b,专辑小卡周边,收藏型|消费支持型,收藏型:5|消费支持型:3
13,spend-01,追星消费倾向,你愿意把钱花在哪？,C,spend-01-c,音源作品支持,作品型|消费支持型,作品型:3|消费支持型:4
13,spend-01,追星消费倾向,你愿意把钱花在哪？,D,spend-01-d,少花钱看物料,佛系|陪伴型,佛系:5|陪伴型:2
14,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,A,interaction-a,主动安利,饭圈互动型|安利型|数据型,饭圈互动型:5|安利型:4|数据型:2
14,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,B,interaction-01-b,潜水收藏,佛系|收藏型,佛系:4|收藏型:3
14,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,C,interaction-01-c,评论接梗,搞笑|饭圈互动型,搞笑:3|饭圈互动型:4
14,interaction-01,饭圈互动方式,你在饭圈更像哪种人？,D,interaction-01-d,线下搭子,线下应援型|陪伴型,线下应援型:4|陪伴型:2
15,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,A,interaction-05-a,出圈舞台,舞台型|热血,舞台型:4|热血:2
15,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,B,interaction-05-b,代表作品,作品型|演员型,作品型:4|演员型:2
15,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,C,interaction-05-c,综艺日常,综艺型|搞笑|陪伴型,综艺型:3|搞笑:2|陪伴型:2
15,interaction-05,饭圈互动方式,你想先看哪种入坑材料？,D,interaction-05-d,成长线长文,养成系|安利型,养成系:3|安利型:3
