combination_index,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,answer_signature,selected_option_ids,top_idol_id,top_idol_name,score,confidence,matched_tags,top_user_tags
0,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,AAAAAAAAAAAAAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-a|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,80,70,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|清冷|反差型|安利型|热血
262208,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,AAAAABAAAAABAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-a|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,80,70,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|热血|演员型|清冷|作品型
524416,A,A,A,A,A,C,A,A,A,A,A,C,A,A,A,AAAAACAAAAACAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-a|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,78,69,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|清冷|热血|演员型|反差型
786624,A,A,A,A,A,D,A,A,A,A,A,D,A,A,A,AAAAADAAAAADAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-a|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-a|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,78,69,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|热血|清冷|演员型|反差型
1048832,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,AAAABAAAAABAAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-b|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,71,54,实力派|舞台型,舞台型|实力派|温柔|清冷|陪伴型|反差型|安利型|热血
1311040,A,A,A,A,B,B,A,A,A,A,B,B,A,A,A,AAAABBAAAABBAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-b|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,74,66,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|实力派|温柔|陪伴型|清冷|热血|创作型|线下应援型
1573248,A,A,A,A,B,C,A,A,A,A,B,C,A,A,A,AAAABCAAAABCAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-b|works-03-c|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-c|spend-01-a|interaction-a|interaction-05-a,jimin-朴智旻,Jimin 朴智旻,69,53,温柔|舞台型,舞台型|实力派|温柔|清冷|陪伴型|创作型|热血|线下应援型
1835456,A,A,A,A,B,D,A,A,A,A,B,D,A,A,A,AAAABDAAAABDAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-b|works-03-d|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-b|contrast-04-d|spend-01-a|interaction-a|interaction-05-a,hanni-范玉欣,Hanni 范玉欣,70,54,实力派|舞台型,舞台型|实力派|温柔|陪伴型|清冷|热血|创作型|线下应援型
2097664,A,A,A,A,C,A,A,A,A,A,C,A,A,A,A,AAAACAAAAACAAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-c|works-03-a|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-a|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,76,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|清冷|反差型|安利型|热血
2359872,A,A,A,A,C,B,A,A,A,A,C,B,A,A,A,AAAACBAAAACBAAA,visual-01-a|visual-03-a|stage-a|stage-03-a|works-01-c|works-03-b|personality-01-a|personality-03-a|companionship-01-a|companionship-03-a|contrast-01-c|contrast-04-b|spend-01-a|interaction-a|interaction-05-a,檀健次,檀健次,77,68,温柔|舞台型|演员型|陪伴型|反差型|饭圈互动型,舞台型|温柔|陪伴型|实力派|热血|清冷|搞笑|演员型
